Area,Intensity,Eccentricity,Time
100.0,267.39453125,0.304568390943487,0.0
2561.0,41904.21875,0.157462228112373,0.0
254.0,653.4765625,0.6883713556620485,0.0
2851.0,43232.24609375,0.22089170382171125,0.0
202.0,366.72265625,0.5730465795266396,0.0
2077.0,4164.96484375,0.7297887926082606,0.0
92.0,247.66796875,0.3468889594776243,0.0
15350.0,26338.38671875,0.9995987444950143,0.0
92.0,224.1640625,0.3468889594776243,0.0
3068.0,6643.9921875,0.11257800680491377,0.0
76915.0,140061.02734375,0.9810504269052157,0.0
3030.0,6357.7421875,0.230092826033293,0.0
100.0,328.2265625,0.304568390943487,0.0
92.0,295.65234375,0.3468889594776243,0.0
2712.0,41804.71875,0.1658844832488348,0.0
92.0,232.3671875,0.3468889594776243,0.0
92.0,224.37109375,0.3468889594776243,0.0
2806.0,5938.3828125,0.11605357526411197,0.0
108.0,270.8984375,0.3423402312476654,0.0
16978.0,30020.4140625,0.9991738598927943,0.0
507.0,1060.55859375,0.918619140610732,0.0
161.0,484.50390625,0.38915327010334794,0.0
81.0,156.13671875,0.0,0.0
2202.0,5302.12890625,0.7649528638661577,0.0
2670.0,42298.3203125,0.1896341083673249,0.0
2785.0,45604.53125,0.12893355009703478,0.0
784.0,2067.6875,0.9465225920416422,0.0
456.0,879.7578125,0.555785573927336,0.0
144.0,491.265625,0.37736084703917816,0.0
7437.0,14412.5078125,0.1950261090418031,0.0
2744.0,41368.98828125,0.1826371209451658,0.0
2737.0,45073.109375,0.17277199486325268,0.0
979.0,2610.17578125,0.7028145578998434,0.0
92.0,353.859375,0.3468889594776243,0.0
2834.0,45166.2734375,0.11881899736078869,0.0
81.0,323.5234375,0.0,0.0
2565.0,5472.58203125,0.2691581748546976,0.0
81.0,266.91015625,0.0,0.0
92.0,380.5390625,0.3468889594776243,0.0
2542.0,41099.2109375,0.20999759545511593,0.0
81.0,322.890625,0.0,0.0
2818.0,43794.046875,0.23232218693802534,0.0
953.0,2633.6953125,0.9468609270499942,0.0
2697.0,35217.48828125,0.1678376125364544,0.0
81.0,230.7109375,0.0,0.0
2817.0,37899.7109375,0.24164494558887223,0.0
170.0,466.56640625,0.4720100221920756,0.0
81.0,309.5625,0.0,0.0
3075.0,6613.0703125,0.10874657687095927,0.0
3180.0,6711.84765625,0.14171201328000796,0.0
1699.0,27688.90625,0.13570372577675208,0.0
824.0,2259.26171875,0.41352933623286686,0.0
249.0,697.6875,0.5846556786654494,0.0
3208.0,6329.890625,0.14741016518670214,0.0
3071.0,6681.4453125,0.16480361814872593,0.0
119.0,291.56640625,0.21991994184878721,0.0
2957.0,6231.56640625,0.1992863152698678,0.0
2729.0,39005.83984375,0.23235320908463136,0.0
81.0,211.0078125,0.0,0.0
349.0,833.7265625,0.8565352781333763,0.0
2904.0,44896.92578125,0.1698748208867275,0.0
144.0,356.1796875,0.4695107896318364,0.0
237.0,735.2265625,0.7261606683541248,0.0
81.0,238.40625,0.0,0.0
170.0,492.51953125,0.45475993876431986,0.0
2637.0,32710.0234375,0.15476142908290064,0.0
2806.0,35719.171875,0.18370334438909866,0.0
2725.0,39123.7578125,0.1521471901962436,0.0
2707.0,38160.19140625,0.15160685833618578,0.0
2871.0,40391.41015625,0.16291454032055772,0.0
81.0,249.98046875,0.0,0.0
81.0,261.94921875,0.0,0.0
149.0,577.43359375,0.640353565714169,0.0
81.0,312.296875,0.0,0.0
2763.0,38047.13671875,0.3895991502027158,0.0
81.0,228.72265625,0.0,0.0
192.0,609.44921875,0.5269758228074396,0.0
763.0,2234.9609375,0.8300116763453171,0.0
3037.0,6059.4296875,0.14585595198170095,0.0
3046.0,6346.0,0.2373625289248265,0.0
168.0,452.53515625,0.52022361289392,0.0
2860.0,32151.00390625,0.24371842565944232,0.0
2792.0,31340.9296875,0.20671538696805045,0.0
81.0,194.359375,0.0,0.0
92.0,266.42578125,0.3468889594776243,0.0
2961.0,35522.52734375,0.16825279957278713,0.0
81.0,200.69921875,0.0,0.0
92.0,250.4453125,0.3468889594776243,0.0
2770.0,32066.23046875,0.2724369209505657,0.0
2743.0,32880.2578125,0.2204178420381391,0.0
81.0,222.69140625,0.0,0.0
2966.0,33884.87109375,0.1015402123357282,0.0
2805.0,30887.66015625,0.09621567381264136,0.0
213.0,624.04296875,0.6226488547747426,0.0
158.0,325.7578125,0.5324039031753395,0.0
413.0,954.2890625,0.9479181505454537,0.0
1179.0,2855.921875,0.5994741537780204,0.0
2760.0,30176.83984375,0.237915093507496,0.0
134.0,308.82421875,0.4365021217891345,0.0
2991.0,5742.28125,0.19167281137189254,0.0
3250.0,6690.36328125,0.23527146310768832,0.0
81.0,195.6953125,0.0,0.0
2749.0,24623.0859375,0.16458968294627316,0.0
2393.0,4605.2421875,0.14500399215188434,0.0
2855.0,30726.68359375,0.280080434134459,0.0
92.0,224.98046875,0.3468889594776243,0.0
81.0,185.02734375,0.0,0.0
2811.0,29600.3984375,0.23709475911531383,0.0
2585.0,26437.515625,0.15647308971611026,0.0
81.0,191.40625,0.0,0.0
2554.0,5232.96484375,0.6506985096780624,0.0
2688.0,27123.359375,0.2704998037185745,0.0
2460.0,23958.92578125,0.5066010472705411,0.0
2170.0,4324.55078125,0.7561639521452159,0.0
1988.0,3770.7109375,0.7495095250771839,0.0
